S. No.,STATE,Actual(mm),Normal(mm),Deviation(%) from normal
1,ANDAMAN & NICOBAR,-,2909.4,-
2,ANDHRA PRADESH,1071.1,869.5,23.18
3,ARUNACHAL PRADESH,2339.2,3001.1,-22.06
4,ASSAM,1920.5,2272.5,-15.49
5,BIHAR,883.1,1222.3,-27.75
6,CHANDIGARH,1117.7,1077.7,3.71
7,CHHATTISGARH,1399.5,1300.1,7.65
8,DADRA AND NAGAR HAV,3493,-,-
9,DAMAN & DIU,2530.1,625,304.82
10,DELHI,636.7,794,-19.81
11,GOA,3370.9,3045.2,10.7
12,GUJARAT,942.3,710.9,32.55
13,HARYANA,637.3,558,14.21
14,HIMACHAL PRADESH,1132.8,1322.8,-14.37
15,JAMMU & KASHMIR,1161.8,1201.5,-3.3
16,JHARKHAND,961.2,1325.6,-27.49
17,KARNATAKA,1323.2,1215.9,8.83
18,KERALA,2457.2,3097,-20.66
19,Ladakh,394.6,-,-
20,LAKSHDWEEP,-,-,-
21,MADHYA PRADESH,1329.9,1102.1,20.67
22,MAHARASHTRA,1400.7,1143.2,22.53
23,MANIPUR,1069.4,1368.6,-21.86
24,MEGHALAYA,3684.7,8004.6,-53.97
25,MIZORAM,1773.3,2178.2,-18.59
26,NAGALAND,1395.4,1901.6,-26.62
27,ODISHA,1422.3,1470,-3.25
28,PONDICHERRY,1196.7,1363.2,-12.22
29,PUNJAB,648.3,646.1,0.33
30,RAJASTHAN,660.2,461.5,43.05
31,SIKKIM,3398.1,3090.5,9.95
32,TAMILNADU,1114.2,921.9,20.86
33,TELANGANA,1393.1,942.5,47.82
34,TRIPURA,1611.5,2361.4,-31.75
35,UTTAR PRADESH,814.9,980.8,-16.91
36,UTTARAKHAND,1542.3,1569.7,-1.75
37,WEST BENGAL,1399,1739.3,-19.56
38,TOTAL,1201.3,1219.8,-1.51
